"Municipio","Ano","Tipo Institucion","N_Aprobados","N_Reprobados","N_Desertores","N_Traslados","P_Aprobados","P_Reprobados","P_Desertores","P_Traslados"
"San Agustín",2009,"Oficial",,,,,97.8,2.2,4.2,4.7
"Santa Maria",2009,"Oficial",,,,,98.2,1.8,6.1,7.3
"Suaza",2009,"Oficial",,,,,96.4,3.6,6.6,6.5
"Tarqui",2009,"Oficial",,,,,96.5,3.5,2.4,2.2
"Tello",2009,"Oficial",,,,,96.5,3.5,6.8,7.6
"Teruel",2009,"Oficial",,,,,95.7,4.3,7.6,4.8
"Tesalia",2009,"Oficial",,,,,95.8,4.2,1.2,6.6
"Timaná",2009,"Oficial",,,,,97.8,2.2,5,4.4
"Villavieja",2009,"Oficial",,,,,95.6,4.4,8.7,3.9
"Yaguará",2009,"Oficial",,,,,95.7,4.3,2.7,10
"Acevedo",2008,"Oficial",5903,155,234,390,97.4413998019,2.5586001981,,
"Agrado",2008,"Oficial",2180,97,218,155,95.7400087835,4.2599912165,,
"Aipe",2008,"Oficial",4554,237,334,349,95.0532247965,4.9467752035,,
"Algeciras",2008,"Oficial",5511,176,463,258,96.9052224371,3.0947775629,,
"Altamira",2008,"Oficial",788,26,45,81,96.8058968059,3.1941031941,,
"Baraya",2008,"Oficial",1781,56,290,61,96.9515514426,3.0484485574,,
"Campoalegre",2008,"Oficial",6603,318,609,337,95.4052882531,4.5947117469,,
"Colombia",2008,"Oficial",1754,50,191,84,97.2283813747,2.7716186253,,
"Elias",2008,"Oficial",830,29,49,23,96.6239813737,3.3760186263,,
"Garzón",2008,"Oficial",12383,340,973,1186,97.3276742907,2.6723257093,,
"Gigante",2008,"Oficial",6843,244,369,721,96.557076337,3.442923663,,
"Guadalupe",2008,"Oficial",4232,144,319,212,96.7093235832,3.2906764168,,
"Hobo",2008,"Oficial",1333,59,46,117,95.7614942529,4.2385057471,,
"Iquira",2008,"Oficial",2415,99,178,150,96.062052506,3.937947494,,
"Isnos",2008,"Oficial",5305,131,430,185,97.5901398087,2.4098601913,,
"La Argentina",2008,"Oficial",3266,86,200,87,97.4343675418,2.5656324582,,
"La Plata",2008,"Oficial",12657,428,669,509,96.7290790982,3.2709209018,,
"Nátaga",2008,"Oficial",1517,61,112,67,96.134347275,3.865652725,,
"Neiva",2008,"Oficial",,2929,4877,,,,,
"Oporapa",2008,"Oficial",2748,61,125,93,97.8284086864,2.1715913136,,
"Paicol",2008,"Oficial",1282,93,51,127,93.2363636364,6.7636363636,,
"Palermo",2008,"Oficial",5304,269,185,538,95.1731562893,4.8268437107,,
"Palestina",2008,"Oficial",2583,16,74,68,99.3843786072,0.6156213928,,
"Pital",2008,"Oficial",4219,71,202,276,98.344988345,1.655011655,,
"Pitalito",2008,"Oficial",26019,957,1721,1363,96.4524021352,3.5475978648,,
"Rivera",2008,"Oficial",4117,198,223,375,95.4113557358,4.5886442642,,
"Saladoblanco",2008,"Oficial",2632,114,200,118,95.8485069192,4.1514930808,,
"San Agustín",2008,"Oficial",8279,128,264,311,98.4774592601,1.5225407399,,
"Santa Maria",2008,"Oficial",2407,41,287,124,98.3251633987,1.6748366013,,
"Suaza",2008,"Oficial",4109,146,228,198,96.5687426557,3.4312573443,,
"Tarqui",2008,"Oficial",4333,68,227,176,98.4548966144,1.5451033856,,
"Tello",2008,"Oficial",3011,82,373,151,97.348852247,2.651147753,,
"Teruel",2008,"Oficial",1655,69,132,48,95.9976798144,4.0023201856,,
"Tesalia",2008,"Oficial",2707,76,64,169,97.269134028,2.730865972,,
"Timaná",2008,"Oficial",4619,214,134,146,95.5721084213,4.4278915787,,
"Villavieja",2008,"Oficial",1542,80,120,60,95.0678175092,4.9321824908,,
"Yaguará",2008,"Oficial",1640,78,66,110,95.4598370198,4.5401629802,,
"Acevedo",2008,"No Oficial",73,4,6,0,94.8051948052,5.1948051948,,
"Agrado",2008,"No Oficial",,,,,,,,
"Aipe",2008,"No Oficial",,,,,,,,
