"Ano","Municipio","Categoria","Numero"
2014,"Garzón","Rector",13
2014,"Gigante","Rector",8
2014,"Guadalupe","Rector",3
2014,"Hobo","Rector",1
2014,"Iquira","Rector",5
2014,"Isnos","Rector",7
2014,"La Argentina","Rector",5
2014,"La Plata","Rector",18
2014,"Nátaga","Rector",4
2014,"Neiva","Rector",36
2014,"Oporapa","Rector",3
2014,"Paicol","Rector",1
2014,"Palermo","Rector",7
2014,"Palestina","Rector",5
2014,"Pital","Rector",4
2014,"Pitalito","Rector",16
2014,"Rivera","Rector",4
2014,"Saladoblanco","Rector",2
2014,"San Agustín","Rector",9
2014,"Santa Maria","Rector",4
2014,"Suaza","Rector",7
2014,"Tarqui","Rector",6
2014,"Tello","Rector",4
2014,"Teruel","Rector",3
2014,"Tesalia","Rector",4
2014,"Timaná","Rector",6
2014,"Villavieja","Rector",3
2014,"Yaguará","Rector",2
2014,"Acevedo","Director rural",0
2014,"Agrado","Director rural",1
2014,"Aipe","Director rural",1
2014,"Algeciras","Director rural",0
2014,"Altamira","Director rural",0
2014,"Baraya","Director rural",1
2014,"Campoalegre","Director rural",1
2014,"Colombia","Director rural",1
2014,"Elias","Director rural",0
2014,"Garzón","Director rural",1
2014,"Gigante","Director rural",0
2014,"Guadalupe","Director rural",0
2014,"Hobo","Director rural",0
2014,"Iquira","Director rural",0
2014,"Isnos","Director rural",0
2014,"La Argentina","Director rural",1
2014,"La Plata","Director rural",0
2014,"Nátaga","Director rural",0
2014,"Neiva","Director rural",1
2014,"Oporapa","Director rural",0
2014,"Paicol","Director rural",0
2014,"Palermo","Director rural",0
2014,"Palestina","Director rural",0
2014,"Pital","Director rural",2
2014,"Pitalito","Director rural",0
2014,"Rivera","Director rural",0
2014,"Saladoblanco","Director rural",0
2014,"San Agustín","Director rural",0
2014,"Santa Maria","Director rural",0
2014,"Suaza","Director rural",0
2014,"Tarqui","Director rural",0
2014,"Tello","Director rural",0
2014,"Teruel","Director rural",0
2014,"Tesalia","Director rural",0
2014,"Timaná","Director rural",0
2014,"Villavieja","Director rural",1
2014,"Yaguará","Director rural",0
2014,"Acevedo","Coordinador",11
2014,"Agrado","Coordinador",3
2014,"Aipe","Coordinador",5
2014,"Algeciras","Coordinador",7
2014,"Altamira","Coordinador",1
2014,"Baraya","Coordinador",2
2014,"Campoalegre","Coordinador",10
2014,"Colombia","Coordinador",1
2014,"Elias","Coordinador",2
2014,"Garzón","Coordinador",23
2014,"Gigante","Coordinador",14
2014,"Guadalupe","Coordinador",8
2014,"Hobo","Coordinador",3
2014,"Iquira","Coordinador",3
2014,"Isnos","Coordinador",9
2014,"La Argentina","Coordinador",3
2014,"La Plata","Coordinador",22
2014,"Nátaga","Coordinador",2
2014,"Neiva","Coordinador",87
2014,"Oporapa","Coordinador",4
2014,"Paicol","Coordinador",3
2014,"Palermo","Coordinador",8
2014,"Palestina","Coordinador",2
2014,"Pital","Coordinador",4
2014,"Pitalito","Coordinador",43
2014,"Rivera","Coordinador",7
2014,"Saladoblanco","Coordinador",5
2014,"San Agustín","Coordinador",11
2014,"Santa Maria","Coordinador",3
2014,"Suaza","Coordinador",4
2014,"Tarqui","Coordinador",7
2014,"Tello","Coordinador",4
2014,"Teruel","Coordinador",2
2014,"Tesalia","Coordinador",4
2014,"Timaná","Coordinador",6
2014,"Villavieja","Coordinador",1
2014,"Yaguará","Coordinador",3
2014,"Acevedo","Docente aula",294
2014,"Agrado","Docente aula",87
2014,"Aipe","Docente aula",158
2014,"Algeciras","Docente aula",202
2014,"Altamira","Docente aula",35
2014,"Baraya","Docente aula",80
2014,"Campoalegre","Docente aula",249
2014,"Colombia","Docente aula",88
2014,"Elias","Docente aula",38
2014,"Garzón","Docente aula",583
2014,"Gigante","Docente aula",272
2014,"Guadalupe","Docente aula",170
2014,"Hobo","Docente aula",58
2014,"Iquira","Docente aula",113
2014,"Isnos","Docente aula",216
2014,"La Argentina","Docente aula",142
2014,"La Plata","Docente aula",573
2014,"Nátaga","Docente aula",69
2014,"Neiva","Docente aula",2100
2014,"Oporapa","Docente aula",105
2014,"Paicol","Docente aula",61
2014,"Palermo","Docente aula",230
2014,"Palestina","Docente aula",108
2014,"Pital","Docente aula",135
2014,"Pitalito","Docente aula",1012
2014,"Rivera","Docente aula",175
2014,"Saladoblanco","Docente aula",108
2014,"San Agustín","Docente aula",289
2014,"Santa Maria","Docente aula",108
2014,"Suaza","Docente aula",171
2014,"Tarqui","Docente aula",179
2014,"Tello","Docente aula",129
2014,"Teruel","Docente aula",75
2014,"Tesalia","Docente aula",98
2014,"Timaná","Docente aula",187
2014,"Villavieja","Docente aula",68
2014,"Yaguará","Docente aula",61
2014,"Acevedo","Docente apoyo",0
2014,"Agrado","Docente apoyo",0
2014,"Aipe","Docente apoyo",0
2014,"Algeciras","Docente apoyo",0
2014,"Altamira","Docente apoyo",0
2014,"Baraya","Docente apoyo",0
2014,"Campoalegre","Docente apoyo",0
2014,"Colombia","Docente apoyo",0
2014,"Elias","Docente apoyo",0
2014,"Garzón","Docente apoyo",1
2014,"Gigante","Docente apoyo",0
2014,"Guadalupe","Docente apoyo",0
2014,"Hobo","Docente apoyo",0
2014,"Iquira","Docente apoyo",0
2014,"Isnos","Docente apoyo",0
2014,"La Argentina","Docente apoyo",0
2014,"La Plata","Docente apoyo",3
2014,"Nátaga","Docente apoyo",0
2014,"Neiva","Docente apoyo",0
2014,"Oporapa","Docente apoyo",0
2014,"Paicol","Docente apoyo",0
2014,"Palermo","Docente apoyo",1
2014,"Palestina","Docente apoyo",0
2014,"Pital","Docente apoyo",0
2014,"Pitalito","Docente apoyo",0
