"Municipio","Ano","Rango","Poblacion"
"Rivera",2013,"Población en edad escolar 5 años",364
"Saladoblanco",2013,"Población en edad escolar 5 años",272
"San Agustín",2013,"Población en edad escolar 5 años",619
"Santa Maria",2013,"Población en edad escolar 5 años",247
"Suaza",2013,"Población en edad escolar 5 años",414
"Tarqui",2013,"Población en edad escolar 5 años",414
"Tello",2013,"Población en edad escolar 5 años",332
"Teruel",2013,"Población en edad escolar 5 años",181
"Tesalia",2013,"Población en edad escolar 5 años",195
"Timaná",2013,"Población en edad escolar 5 años",426
"Villavieja",2013,"Población en edad escolar 5 años",165
"Yaguará",2013,"Población en edad escolar 5 años",148
"Acevedo",2013,"Población en edad escolar 6 – 10 años",3753
"Agrado",2013,"Población en edad escolar 6 – 10 años",1001
"Aipe",2013,"Población en edad escolar 6 – 10 años",2715
"Algeciras",2013,"Población en edad escolar 6 – 10 años",2561
"Altamira",2013,"Población en edad escolar 6 – 10 años",448
"Baraya",2013,"Población en edad escolar 6 – 10 años",952
"Campoalegre",2013,"Población en edad escolar 6 – 10 años",3291
"Colombia",2013,"Población en edad escolar 6 – 10 años",1202
"Elias",2013,"Población en edad escolar 6 – 10 años",443
"Garzón",2013,"Población en edad escolar 6 – 10 años",9161
"Gigante",2013,"Población en edad escolar 6 – 10 años",3466
"Guadalupe",2013,"Población en edad escolar 6 – 10 años",2302
"Hobo",2013,"Población en edad escolar 6 – 10 años",706
"Iquira",2013,"Población en edad escolar 6 – 10 años",1181
"Isnos",2013,"Población en edad escolar 6 – 10 años",2732
"La Argentina",2013,"Población en edad escolar 6 – 10 años",1508
"La Plata",2013,"Población en edad escolar 6 – 10 años",6737
"Nátaga",2013,"Población en edad escolar 6 – 10 años",661
"Neiva",2013,"Población en edad escolar 6 – 10 años",28430
"Oporapa",2013,"Población en edad escolar 6 – 10 años",1675
"Paicol",2013,"Población en edad escolar 6 – 10 años",582
"Palermo",2013,"Población en edad escolar 6 – 10 años",3145
"Palestina",2013,"Población en edad escolar 6 – 10 años",1201
"Pital",2013,"Población en edad escolar 6 – 10 años",1375
"Pitalito",2013,"Población en edad escolar 6 – 10 años",12568
"Rivera",2013,"Población en edad escolar 6 – 10 años",1749
"Saladoblanco",2013,"Población en edad escolar 6 – 10 años",1334
"San Agustín",2013,"Población en edad escolar 6 – 10 años",3123
"Santa Maria",2013,"Población en edad escolar 6 – 10 años",1200
"Suaza",2013,"Población en edad escolar 6 – 10 años",2001
"Tarqui",2013,"Población en edad escolar 6 – 10 años",2026
"Tello",2013,"Población en edad escolar 6 – 10 años",1626
"Teruel",2013,"Población en edad escolar 6 – 10 años",897
"Tesalia",2013,"Población en edad escolar 6 – 10 años",939
"Timaná",2013,"Población en edad escolar 6 – 10 años",2148
"Villavieja",2013,"Población en edad escolar 6 – 10 años",799
"Yaguará",2013,"Población en edad escolar 6 – 10 años",744
"Acevedo",2013,"Población en edad escolar 11- 16 años",3003
"Agrado",2013,"Población en edad escolar 11- 16 años",788
"Aipe",2013,"Población en edad escolar 11- 16 años",2041
"Algeciras",2013,"Población en edad escolar 11- 16 años",1912
"Altamira",2013,"Población en edad escolar 11- 16 años",370
"Baraya",2013,"Población en edad escolar 11- 16 años",772
"Campoalegre",2013,"Población en edad escolar 11- 16 años",2659
"Colombia",2013,"Población en edad escolar 11- 16 años",984
"Elias",2013,"Población en edad escolar 11- 16 años",336
"Garzón",2013,"Población en edad escolar 11- 16 años",7426
"Gigante",2013,"Población en edad escolar 11- 16 años",2562
"Guadalupe",2013,"Población en edad escolar 11- 16 años",1759
"Hobo",2013,"Población en edad escolar 11- 16 años",531
"Iquira",2013,"Población en edad escolar 11- 16 años",958
"Isnos",2013,"Población en edad escolar 11- 16 años",2286
"La Argentina",2013,"Población en edad escolar 11- 16 años",1227
"La Plata",2013,"Población en edad escolar 11- 16 años",5419
"Nátaga",2013,"Población en edad escolar 11- 16 años",556
"Neiva",2013,"Población en edad escolar 11- 16 años",24234
"Oporapa",2013,"Población en edad escolar 11- 16 años",1360
"Paicol",2013,"Población en edad escolar 11- 16 años",505
"Palermo",2013,"Población en edad escolar 11- 16 años",2472
"Palestina",2013,"Población en edad escolar 11- 16 años",985
"Pital",2013,"Población en edad escolar 11- 16 años",1119
"Pitalito",2013,"Población en edad escolar 11- 16 años",10319
"Rivera",2013,"Población en edad escolar 11- 16 años",1313
"Saladoblanco",2013,"Población en edad escolar 11- 16 años",1040
"San Agustín",2013,"Población en edad escolar 11- 16 años",2603
"Santa Maria",2013,"Población en edad escolar 11- 16 años",928
"Suaza",2013,"Población en edad escolar 11- 16 años",1532
"Tarqui",2013,"Población en edad escolar 11- 16 años",1538
"Tello",2013,"Población en edad escolar 11- 16 años",1260
"Teruel",2013,"Población en edad escolar 11- 16 años",708
"Tesalia",2013,"Población en edad escolar 11- 16 años",720
"Timaná",2013,"Población en edad escolar 11- 16 años",1756
"Villavieja",2013,"Población en edad escolar 11- 16 años",602
"Yaguará",2013,"Población en edad escolar 11- 16 años",625
"Acevedo",2013,"Población en edad escolar 11- 16 años",1448
"Agrado",2013,"Población en edad escolar 11- 16 años",392
"Aipe",2013,"Población en edad escolar 11- 16 años",1033
"Algeciras",2013,"Población en edad escolar 11- 16 años",925
"Altamira",2013,"Población en edad escolar 11- 16 años",187
"Baraya",2013,"Población en edad escolar 11- 16 años",400
"Campoalegre",2013,"Población en edad escolar 11- 16 años",1333
"Colombia",2013,"Población en edad escolar 11- 16 años",512
"Elias",2013,"Población en edad escolar 11- 16 años",167
"Garzón",2013,"Población en edad escolar 11- 16 años",3782
"Gigante",2013,"Población en edad escolar 11- 16 años",1315
"Guadalupe",2013,"Población en edad escolar 11- 16 años",880
"Hobo",2013,"Población en edad escolar 11- 16 años",272
"Iquira",2013,"Población en edad escolar 11- 16 años",497
"Isnos",2013,"Población en edad escolar 11- 16 años",1141
"La Argentina",2013,"Población en edad escolar 11- 16 años",597
"La Plata",2013,"Población en edad escolar 11- 16 años",2678
"Nátaga",2013,"Población en edad escolar 11- 16 años",289
"Neiva",2013,"Población en edad escolar 11- 16 años",12570
"Oporapa",2013,"Población en edad escolar 11- 16 años",630
"Paicol",2013,"Población en edad escolar 11- 16 años",241
"Palermo",2013,"Población en edad escolar 11- 16 años",1224
"Palestina",2013,"Población en edad escolar 11- 16 años",500
"Pital",2013,"Población en edad escolar 11- 16 años",564
"Pitalito",2013,"Población en edad escolar 11- 16 años",5223
"Rivera",2013,"Población en edad escolar 11- 16 años",670
"Saladoblanco",2013,"Población en edad escolar 11- 16 años",491
"San Agustín",2013,"Población en edad escolar 11- 16 años",1362
"Santa Maria",2013,"Población en edad escolar 11- 16 años",463
"Suaza",2013,"Población en edad escolar 11- 16 años",766
"Tarqui",2013,"Población en edad escolar 11- 16 años",730
"Tello",2013,"Población en edad escolar 11- 16 años",370
"Teruel",2013,"Población en edad escolar 11- 16 años",616
"Tesalia",2013,"Población en edad escolar 11- 16 años",344
"Timaná",2013,"Población en edad escolar 11- 16 años",876
"Villavieja",2013,"Población en edad escolar 11- 16 años",305
"Yaguará",2013,"Población en edad escolar 11- 16 años",332
"Acevedo",2012,"Población en edad escolar 5 años",747
"Agrado",2012,"Población en edad escolar 5 años",203
"Aipe",2012,"Población en edad escolar 5 años",559
"Algeciras",2012,"Población en edad escolar 5 años",542
"Altamira",2012,"Población en edad escolar 5 años",88
"Baraya",2012,"Población en edad escolar 5 años",189
"Campoalegre",2012,"Población en edad escolar 5 años",662
"Colombia",2012,"Población en edad escolar 5 años",240
"Elias",2012,"Población en edad escolar 5 años",91
"Garzón",2012,"Población en edad escolar 5 años",1840
"Gigante",2012,"Población en edad escolar 5 años",734
"Guadalupe",2012,"Población en edad escolar 5 años",475
"Hobo",2012,"Población en edad escolar 5 años",149
"Iquira",2012,"Población en edad escolar 5 años",235
"Isnos",2012,"Población en edad escolar 5 años",538
"La Argentina",2012,"Población en edad escolar 5 años",302
"La Plata",2012,"Población en edad escolar 5 años",1340
"Nátaga",2012,"Población en edad escolar 5 años",129
"Neiva",2012,"Población en edad escolar 5 años",5522
"Oporapa",2012,"Población en edad escolar 5 años",329
"Paicol",2012,"Población en edad escolar 5 años",112
"Palermo",2012,"Población en edad escolar 5 años",638
"Palestina",2012,"Población en edad escolar 5 años",239
"Pital",2012,"Población en edad escolar 5 años",279
"Pitalito",2012,"Población en edad escolar 5 años",2470
"Rivera",2012,"Población en edad escolar 5 años",370
"Saladoblanco",2012,"Población en edad escolar 5 años",272
"San Agustín",2012,"Población en edad escolar 5 años",616
"Santa Maria",2012,"Población en edad escolar 5 años",249
"Suaza",2012,"Población en edad escolar 5 años",408
"Tarqui",2012,"Población en edad escolar 5 años",420
"Tello",2012,"Población en edad escolar 5 años",335
"Teruel",2012,"Población en edad escolar 5 años",183
"Tesalia",2012,"Población en edad escolar 5 años",196
"Timaná",2012,"Población en edad escolar 5 años",430
"Villavieja",2012,"Población en edad escolar 5 años",169
"Yaguará",2012,"Población en edad escolar 5 años",147
"Acevedo",2012,"Población en edad escolar 6 – 10 años",3729
"Agrado",2012,"Población en edad escolar 6 – 10 años",1006
"Aipe",2012,"Población en edad escolar 6 – 10 años",2670
"Algeciras",2012,"Población en edad escolar 6 – 10 años",2591
"Altamira",2012,"Población en edad escolar 6 – 10 años",447
"Baraya",2012,"Población en edad escolar 6 – 10 años",952
"Campoalegre",2012,"Población en edad escolar 6 – 10 años",3321
"Colombia",2012,"Población en edad escolar 6 – 10 años",1208
"Elias",2012,"Población en edad escolar 6 – 10 años",442
"Garzón",2012,"Población en edad escolar 6 – 10 años",9099
"Gigante",2012,"Población en edad escolar 6 – 10 años",3454
"Guadalupe",2012,"Población en edad escolar 6 – 10 años",2291
"Hobo",2012,"Población en edad escolar 6 – 10 años",717
"Iquira",2012,"Población en edad escolar 6 – 10 años",1178
"Isnos",2012,"Población en edad escolar 6 – 10 años",2745
"La Argentina",2012,"Población en edad escolar 6 – 10 años",1515
"La Plata",2012,"Población en edad escolar 6 – 10 años",6718
"Nátaga",2012,"Población en edad escolar 6 – 10 años",661
"Neiva",2012,"Población en edad escolar 6 – 10 años",28665
"Oporapa",2012,"Población en edad escolar 6 – 10 años",1671
"Paicol",2012,"Población en edad escolar 6 – 10 años",593
"Palermo",2012,"Población en edad escolar 6 – 10 años",3148
"Palestina",2012,"Población en edad escolar 6 – 10 años",1203
"Pital",2012,"Población en edad escolar 6 – 10 años",1394
"Pitalito",2012,"Población en edad escolar 6 – 10 años",12530
"Rivera",2012,"Población en edad escolar 6 – 10 años",1761
"Saladoblanco",2012,"Población en edad escolar 6 – 10 años",1343
"San Agustín",2012,"Población en edad escolar 6 – 10 años",3128
"Santa Maria",2012,"Población en edad escolar 6 – 10 años",1208
"Suaza",2012,"Población en edad escolar 6 – 10 años",1973
"Tarqui",2012,"Población en edad escolar 6 – 10 años",2046
"Tello",2012,"Población en edad escolar 6 – 10 años",1641
"Teruel",2012,"Población en edad escolar 6 – 10 años",907
"Tesalia",2012,"Población en edad escolar 6 – 10 años",950
"Timaná",2012,"Población en edad escolar 6 – 10 años",2184
"Villavieja",2012,"Población en edad escolar 6 – 10 años",810
"Yaguará",2012,"Población en edad escolar 6 – 10 años",746
"Acevedo",2012,"Población en edad escolar 11- 16 años",3013
"Agrado",2012,"Población en edad escolar 11- 16 años",801
"Aipe",2012,"Población en edad escolar 11- 16 años",1987
"Algeciras",2012,"Población en edad escolar 11- 16 años",1915
"Altamira",2012,"Población en edad escolar 11- 16 años",371
"Baraya",2012,"Población en edad escolar 11- 16 años",794
"Campoalegre",2012,"Población en edad escolar 11- 16 años",2693
"Colombia",2012,"Población en edad escolar 11- 16 años",1007
"Elias",2012,"Población en edad escolar 11- 16 años",335
"Garzón",2012,"Población en edad escolar 11- 16 años",7408
"Gigante",2012,"Población en edad escolar 11- 16 años",2506
"Guadalupe",2012,"Población en edad escolar 11- 16 años",1742
"Hobo",2012,"Población en edad escolar 11- 16 años",526
"Iquira",2012,"Población en edad escolar 11- 16 años",976
"Isnos",2012,"Población en edad escolar 11- 16 años",2340
"La Argentina",2012,"Población en edad escolar 11- 16 años",1235
"La Plata",2012,"Población en edad escolar 11- 16 años",5452
"Nátaga",2012,"Población en edad escolar 11- 16 años",579
"Neiva",2012,"Población en edad escolar 11- 16 años",24773
"Oporapa",2012,"Población en edad escolar 11- 16 años",1365
"Paicol",2012,"Población en edad escolar 11- 16 años",516
"Palermo",2012,"Población en edad escolar 11- 16 años",2450
"Palestina",2012,"Población en edad escolar 11- 16 años",1007
"Pital",2012,"Población en edad escolar 11- 16 años",1160
"Pitalito",2012,"Población en edad escolar 11- 16 años",10392
"Rivera",2012,"Población en edad escolar 11- 16 años",1298
"Saladoblanco",2012,"Población en edad escolar 11- 16 años",1053
"San Agustín",2012,"Población en edad escolar 11- 16 años",2677
"Santa Maria",2012,"Población en edad escolar 11- 16 años",928
"Suaza",2012,"Población en edad escolar 11- 16 años",1506
"Tarqui",2012,"Población en edad escolar 11- 16 años",1532
"Tello",2012,"Población en edad escolar 11- 16 años",1274
"Teruel",2012,"Población en edad escolar 11- 16 años",712
"Tesalia",2012,"Población en edad escolar 11- 16 años",724
"Timaná",2012,"Población en edad escolar 11- 16 años",1794
"Villavieja",2012,"Población en edad escolar 11- 16 años",601
"Yaguará",2012,"Población en edad escolar 11- 16 años",636
"Acevedo",2012,"Población en edad escolar 11- 16 años",1427
"Agrado",2012,"Población en edad escolar 11- 16 años",396
"Aipe",2012,"Población en edad escolar 11- 16 años",1037
"Algeciras",2012,"Población en edad escolar 11- 16 años",938
"Altamira",2012,"Población en edad escolar 11- 16 años",185
"Baraya",2012,"Población en edad escolar 11- 16 años",410
"Campoalegre",2012,"Población en edad escolar 11- 16 años",1351
"Colombia",2012,"Población en edad escolar 11- 16 años",521
"Elias",2012,"Población en edad escolar 11- 16 años",168
"Garzón",2012,"Población en edad escolar 11- 16 años",3703
"Gigante",2012,"Población en edad escolar 11- 16 años",1348
"Guadalupe",2012,"Población en edad escolar 11- 16 años",888
"Hobo",2012,"Población en edad escolar 11- 16 años",282
"Iquira",2012,"Población en edad escolar 11- 16 años",505
"Isnos",2012,"Población en edad escolar 11- 16 años",1140
"La Argentina",2012,"Población en edad escolar 11- 16 años",587
"La Plata",2012,"Población en edad escolar 11- 16 años",2646
"Nátaga",2012,"Población en edad escolar 11- 16 años",295
"Neiva",2012,"Población en edad escolar 11- 16 años",12803
"Oporapa",2012,"Población en edad escolar 11- 16 años",609
"Paicol",2012,"Población en edad escolar 11- 16 años",235
"Palermo",2012,"Población en edad escolar 11- 16 años",1226
"Palestina",2012,"Población en edad escolar 11- 16 años",504
"Pital",2012,"Población en edad escolar 11- 16 años",574
"Pitalito",2012,"Población en edad escolar 11- 16 años",5206
"Rivera",2012,"Población en edad escolar 11- 16 años",689
"Saladoblanco",2012,"Población en edad escolar 11- 16 años",487
"San Agustín",2012,"Población en edad escolar 11- 16 años",1394
"Santa Maria",2012,"Población en edad escolar 11- 16 años",468
"Suaza",2012,"Población en edad escolar 11- 16 años",767
"Tarqui",2012,"Población en edad escolar 11- 16 años",730
"Tello",2012,"Población en edad escolar 11- 16 años",622
"Teruel",2012,"Población en edad escolar 11- 16 años",344
"Tesalia",2012,"Población en edad escolar 11- 16 años",380
"Timaná",2012,"Población en edad escolar 11- 16 años",888
"Villavieja",2012,"Población en edad escolar 11- 16 años",317
"Yaguará",2012,"Población en edad escolar 11- 16 años",338
"Acevedo",2011,"Población en edad escolar 5 años",742
"Agrado",2011,"Población en edad escolar 5 años",204
"Aipe",2011,"Población en edad escolar 5 años",542
"Algeciras",2011,"Población en edad escolar 5 años",545
"Altamira",2011,"Población en edad escolar 5 años",88
"Baraya",2011,"Población en edad escolar 5 años",190
"Campoalegre",2011,"Población en edad escolar 5 años",662
"Colombia",2011,"Población en edad escolar 5 años",239
"Elias",2011,"Población en edad escolar 5 años",90
"Garzón",2011,"Población en edad escolar 5 años",1816
"Gigante",2011,"Población en edad escolar 5 años",720
"Guadalupe",2011,"Población en edad escolar 5 años",469
"Hobo",2011,"Población en edad escolar 5 años",150
"Iquira",2011,"Población en edad escolar 5 años",234
"Isnos",2011,"Población en edad escolar 5 años",541
"La Argentina",2011,"Población en edad escolar 5 años",303
"La Plata",2011,"Población en edad escolar 5 años",1340
"Nátaga",2011,"Población en edad escolar 5 años",129
"Neiva",2011,"Población en edad escolar 5 años",5573
"Oporapa",2011,"Población en edad escolar 5 años",330
"Paicol",2011,"Población en edad escolar 5 años",115
"Palermo",2011,"Población en edad escolar 5 años",634
"Palestina",2011,"Población en edad escolar 5 años",238
"Pital",2011,"Población en edad escolar 5 años",283
"Pitalito",2011,"Población en edad escolar 5 años",2465
"Rivera",2011,"Población en edad escolar 5 años",367
"Saladoblanco",2011,"Población en edad escolar 5 años",275
"San Agustín",2011,"Población en edad escolar 5 años",611
"Santa Maria",2011,"Población en edad escolar 5 años",249
"Suaza",2011,"Población en edad escolar 5 años",400
"Tarqui",2011,"Población en edad escolar 5 años",424
"Tello",2011,"Población en edad escolar 5 años",337
"Teruel",2011,"Población en edad escolar 5 años",184
"Tesalia",2011,"Población en edad escolar 5 años",196
"Timaná",2011,"Población en edad escolar 5 años",437
"Villavieja",2011,"Población en edad escolar 5 años",168
"Yaguará",2011,"Población en edad escolar 5 años",146
"Acevedo",2011,"Población en edad escolar 6 – 10 años",3734
"Agrado",2011,"Población en edad escolar 6 – 10 años",1020
"Aipe",2011,"Población en edad escolar 6 – 10 años",2623
"Algeciras",2011,"Población en edad escolar 6 – 10 años",2622
"Altamira",2011,"Población en edad escolar 6 – 10 años",449
"Baraya",2011,"Población en edad escolar 6 – 10 años",971
"Campoalegre",2011,"Población en edad escolar 6 – 10 años",3370
"Colombia",2011,"Población en edad escolar 6 – 10 años",1224
"Elias",2011,"Población en edad escolar 6 – 10 años",436
"Garzón",2011,"Población en edad escolar 6 – 10 años",9075
"Gigante",2011,"Población en edad escolar 6 – 10 años",3431
"Guadalupe",2011,"Población en edad escolar 6 – 10 años",2276
"Hobo",2011,"Población en edad escolar 6 – 10 años",718
"Iquira",2011,"Población en edad escolar 6 – 10 años",1188
"Isnos",2011,"Población en edad escolar 6 – 10 años",2792
"La Argentina",2011,"Población en edad escolar 6 – 10 años",1525
"La Plata",2011,"Población en edad escolar 6 – 10 años",6738
"Nátaga",2011,"Población en edad escolar 6 – 10 años",673
"Neiva",2011,"Población en edad escolar 6 – 10 años",29026
"Oporapa",2011,"Población en edad escolar 6 – 10 años",1679
"Paicol",2011,"Población en edad escolar 6 – 10 años",607
"Palermo",2011,"Población en edad escolar 6 – 10 años",3153
"Palestina",2011,"Población en edad escolar 6 – 10 años",1219
"Pital",2011,"Población en edad escolar 6 – 10 años",1429
"Pitalito",2011,"Población en edad escolar 6 – 10 años",12576
"Rivera",2011,"Población en edad escolar 6 – 10 años",1760
"Saladoblanco",2011,"Población en edad escolar 6 – 10 años",1360
"San Agustín",2011,"Población en edad escolar 6 – 10 años",3176
"Santa Maria",2011,"Población en edad escolar 6 – 10 años",1216
"Suaza",2011,"Población en edad escolar 6 – 10 años",1949
"Tarqui",2011,"Población en edad escolar 6 – 10 años",2065
"Tello",2011,"Población en edad escolar 6 – 10 años",1660
"Teruel",2011,"Población en edad escolar 6 – 10 años",918
"Tesalia",2011,"Población en edad escolar 6 – 10 años",960
"Timaná",2011,"Población en edad escolar 6 – 10 años",2232
"Villavieja",2011,"Población en edad escolar 6 – 10 años",818
"Yaguará",2011,"Población en edad escolar 6 – 10 años",756
"Acevedo",2011,"Población en edad escolar 11- 16 años",3000
"Agrado",2011,"Población en edad escolar 11- 16 años",816
"Aipe",2011,"Población en edad escolar 11- 16 años",1984
"Algeciras",2011,"Población en edad escolar 11- 16 años",1944
