"Municipio","Ano","Rango","Poblacion"
"Oporapa",2010,"Población en edad escolar 11- 16 años",1315
"Paicol",2010,"Población en edad escolar 11- 16 años",515
"Palermo",2010,"Población en edad escolar 11- 16 años",2473
"Palestina",2010,"Población en edad escolar 11- 16 años",1033
"Pital",2010,"Población en edad escolar 11- 16 años",1227
"Pitalito",2010,"Población en edad escolar 11- 16 años",10445
"Rivera",2010,"Población en edad escolar 11- 16 años",1371
"Saladoblanco",2010,"Población en edad escolar 11- 16 años",1053
"San Agustín",2010,"Población en edad escolar 11- 16 años",2826
"Santa Maria",2010,"Población en edad escolar 11- 16 años",959
"Suaza",2010,"Población en edad escolar 11- 16 años",1515
"Tarqui",2010,"Población en edad escolar 11- 16 años",1544
"Tello",2010,"Población en edad escolar 11- 16 años",1330
"Teruel",2010,"Población en edad escolar 11- 16 años",726
"Tesalia",2010,"Población en edad escolar 11- 16 años",773
"Timaná",2010,"Población en edad escolar 11- 16 años",1887
"Villavieja",2010,"Población en edad escolar 11- 16 años",656
"Yaguará",2010,"Población en edad escolar 11- 16 años",671
"Acevedo",2010,"Población en edad escolar 11- 16 años",1360
"Agrado",2010,"Población en edad escolar 11- 16 años",403
"Aipe",2010,"Población en edad escolar 11- 16 años",1038
"Algeciras",2010,"Población en edad escolar 11- 16 años",977
"Altamira",2010,"Población en edad escolar 11- 16 años",182
"Baraya",2010,"Población en edad escolar 11- 16 años",431
"Campoalegre",2010,"Población en edad escolar 11- 16 años",1387
"Colombia",2010,"Población en edad escolar 11- 16 años",535
"Elias",2010,"Población en edad escolar 11- 16 años",170
"Garzón",2010,"Población en edad escolar 11- 16 años",3593
"Gigante",2010,"Población en edad escolar 11- 16 años",1399
"Guadalupe",2010,"Población en edad escolar 11- 16 años",896
"Hobo",2010,"Población en edad escolar 11- 16 años",294
"Iquira",2010,"Población en edad escolar 11- 16 años",514
"Isnos",2010,"Población en edad escolar 11- 16 años",1128
"La Argentina",2010,"Población en edad escolar 11- 16 años",570
"La Plata",2010,"Población en edad escolar 11- 16 años",2596
"Nátaga",2010,"Población en edad escolar 11- 16 años",295
"Neiva",2010,"Población en edad escolar 11- 16 años",13222
"Oporapa",2010,"Población en edad escolar 11- 16 años",568
"Paicol",2010,"Población en edad escolar 11- 16 años",226
"Palermo",2010,"Población en edad escolar 11- 16 años",1231
"Palestina",2010,"Población en edad escolar 11- 16 años",504
"Pital",2010,"Población en edad escolar 11- 16 años",593
"Pitalito",2010,"Población en edad escolar 11- 16 años",5143
"Rivera",2010,"Población en edad escolar 11- 16 años",724
"Saladoblanco",2010,"Población en edad escolar 11- 16 años",479
"San Agustín",2010,"Población en edad escolar 11- 16 años",1444
"Santa Maria",2010,"Población en edad escolar 11- 16 años",480
"Suaza",2010,"Población en edad escolar 11- 16 años",764
"Tarqui",2010,"Población en edad escolar 11- 16 años",728
"Tello",2010,"Población en edad escolar 11- 16 años",641
"Teruel",2010,"Población en edad escolar 11- 16 años",350
"Tesalia",2010,"Población en edad escolar 11- 16 años",402
"Timaná",2010,"Población en edad escolar 11- 16 años",907
"Villavieja",2010,"Población en edad escolar 11- 16 años",321
"Yaguará",2010,"Población en edad escolar 11- 16 años",350
