"Ano","Municipio","Tipo Institucion","Area","Tipo Nivel Educativo","Grado","Numero Grado","Numero Matriculas"
2015,"Gigante","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Guadalupe","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Hobo","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Iquira","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Isnos","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"La Argentina","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"La Plata","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Nátaga","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Neiva","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Oporapa","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Paicol","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Palermo","No Oficial","Rural","Prescolar","Preescolar",0,155
2015,"Palestina","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Pital","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Pitalito","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Rivera","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Saladoblanco","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"San Agustín","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Santa Maria","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Suaza","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Tarqui","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Tello","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Teruel","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Tesalia","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Timaná","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Villavieja","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Yaguará","No Oficial","Rural","Prescolar","Preescolar",0,0
2014,"Acevedo","Oficial","Urbana","Prescolar","Preescolar",0,107
2014,"Agrado","Oficial","Urbana","Prescolar","Preescolar",0,75
2014,"Aipe","Oficial","Urbana","Prescolar","Preescolar",0,184
2014,"Algeciras","Oficial","Urbana","Prescolar","Preescolar",0,165
2014,"Altamira","Oficial","Urbana","Prescolar","Preescolar",0,55
2014,"Baraya","Oficial","Urbana","Prescolar","Preescolar",0,71
2014,"Campoalegre","Oficial","Urbana","Prescolar","Preescolar",0,366
2014,"Colombia","Oficial","Urbana","Prescolar","Preescolar",0,31
2014,"Elias","Oficial","Urbana","Prescolar","Preescolar",0,17
2014,"Garzón","Oficial","Urbana","Prescolar","Preescolar",0,515
2014,"Gigante","Oficial","Urbana","Prescolar","Preescolar",0,134
2014,"Guadalupe","Oficial","Urbana","Prescolar","Preescolar",0,118
2014,"Hobo","Oficial","Urbana","Prescolar","Preescolar",0,104
2014,"Iquira","Oficial","Urbana","Prescolar","Preescolar",0,56
2014,"Isnos","Oficial","Urbana","Prescolar","Preescolar",0,101
2014,"La Argentina","Oficial","Urbana","Prescolar","Preescolar",0,94
2014,"La Plata","Oficial","Urbana","Prescolar","Preescolar",0,406
2014,"Nátaga","Oficial","Urbana","Prescolar","Preescolar",0,47
2014,"Neiva","Oficial","Urbana","Prescolar","Preescolar",0,3602
2014,"Oporapa","Oficial","Urbana","Prescolar","Preescolar",0,57
2014,"Paicol","Oficial","Urbana","Prescolar","Preescolar",0,44
2014,"Palermo","Oficial","Urbana","Prescolar","Preescolar",0,165
2014,"Palestina","Oficial","Urbana","Prescolar","Preescolar",0,51
2014,"Pital","Oficial","Urbana","Prescolar","Preescolar",0,70
2014,"Pitalito","Oficial","Urbana","Prescolar","Preescolar",0,1128
2014,"Rivera","Oficial","Urbana","Prescolar","Preescolar",0,166
2014,"Saladoblanco","Oficial","Urbana","Prescolar","Preescolar",0,59
2014,"San Agustín","Oficial","Urbana","Prescolar","Preescolar",0,182
2014,"Santa Maria","Oficial","Urbana","Prescolar","Preescolar",0,65
2014,"Suaza","Oficial","Urbana","Prescolar","Preescolar",0,57
2014,"Tarqui","Oficial","Urbana","Prescolar","Preescolar",0,79
2014,"Tello","Oficial","Urbana","Prescolar","Preescolar",0,76
2014,"Teruel","Oficial","Urbana","Prescolar","Preescolar",0,74
2014,"Tesalia","Oficial","Urbana","Prescolar","Preescolar",0,91
2014,"Timaná","Oficial","Urbana","Prescolar","Preescolar",0,114
2014,"Villavieja","Oficial","Urbana","Prescolar","Preescolar",0,28
2014,"Yaguará","Oficial","Urbana","Prescolar","Preescolar",0,80
2014,"Acevedo","Oficial","Rural","Prescolar","Preescolar",0,489
2014,"Agrado","Oficial","Rural","Prescolar","Preescolar",0,40
2014,"Aipe","Oficial","Rural","Prescolar","Preescolar",0,114
2014,"Algeciras","Oficial","Rural","Prescolar","Preescolar",0,209
2014,"Altamira","Oficial","Rural","Prescolar","Preescolar",0,10
2014,"Baraya","Oficial","Rural","Prescolar","Preescolar",0,52
2014,"Campoalegre","Oficial","Rural","Prescolar","Preescolar",0,66
2014,"Colombia","Oficial","Rural","Prescolar","Preescolar",0,92
2014,"Elias","Oficial","Rural","Prescolar","Preescolar",0,30
2014,"Garzón","Oficial","Rural","Prescolar","Preescolar",0,580
2014,"Gigante","Oficial","Rural","Prescolar","Preescolar",0,246
2014,"Guadalupe","Oficial","Rural","Prescolar","Preescolar",0,126
2014,"Hobo","Oficial","Rural","Prescolar","Preescolar",0,22
2014,"Iquira","Oficial","Rural","Prescolar","Preescolar",0,125
2014,"Isnos","Oficial","Rural","Prescolar","Preescolar",0,170
2014,"La Argentina","Oficial","Rural","Prescolar","Preescolar",0,164
2014,"La Plata","Oficial","Rural","Prescolar","Preescolar",0,578
2014,"Nátaga","Oficial","Rural","Prescolar","Preescolar",0,58
2014,"Neiva","Oficial","Rural","Prescolar","Preescolar",0,446
2014,"Oporapa","Oficial","Rural","Prescolar","Preescolar",0,186
2014,"Paicol","Oficial","Rural","Prescolar","Preescolar",0,45
2014,"Palermo","Oficial","Rural","Prescolar","Preescolar",0,186
2014,"Palestina","Oficial","Rural","Prescolar","Preescolar",0,154
2014,"Pital","Oficial","Rural","Prescolar","Preescolar",0,174
2014,"Pitalito","Oficial","Rural","Prescolar","Preescolar",0,806
2014,"Rivera","Oficial","Rural","Prescolar","Preescolar",0,127
2014,"Saladoblanco","Oficial","Rural","Prescolar","Preescolar",0,165
2014,"San Agustín","Oficial","Rural","Prescolar","Preescolar",0,334
2014,"Santa Maria","Oficial","Rural","Prescolar","Preescolar",0,68
2014,"Suaza","Oficial","Rural","Prescolar","Preescolar",0,231
2014,"Tarqui","Oficial","Rural","Prescolar","Preescolar",0,207
2014,"Tello","Oficial","Rural","Prescolar","Preescolar",0,112
2014,"Teruel","Oficial","Rural","Prescolar","Preescolar",0,56
2014,"Tesalia","Oficial","Rural","Prescolar","Preescolar",0,68
2014,"Timaná","Oficial","Rural","Prescolar","Preescolar",0,187
2014,"Villavieja","Oficial","Rural","Prescolar","Preescolar",0,55
2014,"Yaguará","Oficial","Rural","Prescolar","Preescolar",0,7
2014,"Acevedo","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Agrado","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Aipe","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Algeciras","No Oficial","Urbana","Prescolar","Preescolar",0,12
2014,"Altamira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Baraya","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Campoalegre","No Oficial","Urbana","Prescolar","Preescolar",0,92
2014,"Colombia","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Elias","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Garzón","No Oficial","Urbana","Prescolar","Preescolar",0,294
2014,"Gigante","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Guadalupe","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Hobo","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Iquira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Isnos","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"La Argentina","No Oficial","Urbana","Prescolar","Preescolar",0,21
2014,"La Plata","No Oficial","Urbana","Prescolar","Preescolar",0,44
2014,"Nátaga","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Neiva","No Oficial","Urbana","Prescolar","Preescolar",0,3500
2014,"Oporapa","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Paicol","No Oficial","Urbana","Prescolar","Preescolar",0,0
2014,"Palermo","No Oficial","Urbana","Prescolar","Preescolar",0,84
